Circle_rib,Coil,Magnet_IR,Straight_rib,Fractions,Torque,Coreloss,Efficiency,Copperloss,Mag_B
5,16,13.25,2,2,360.2192941,2.316059159,0.86756771,14.4,20.98947125
5,16,13.3,2,2,355.5085434,2.256919237,0.866616143,14.4,19.40915602
5,16,13.35,2,2,355.5085434,2.256919237,0.866616143,14.4,19.40915602
5.5,16,13.25,2,2,360.2192941,2.316059159,0.86756771,14.4,20.98947125
5.5,16,13.3,2,2,355.5085434,2.256919237,0.866616143,14.4,19.40915602
5.5,16,13.35,2,2,355.5085434,2.256919237,0.866616143,14.4,19.40915602
6,16,13.25,2,2,360.2192941,2.316059159,0.86756771,14.4,20.98947125
6,16,13.3,2,2,355.5085434,2.256919237,0.866616143,14.4,19.40915602
6,16,13.35,2,2,355.5085434,2.256919237,0.866616143,14.4,19.40915602
6.5,16,13.25,2,2,361.3429443,2.248917803,0.868466767,14.4,21.27881418
6.5,16,13.3,2,2,356.5383657,2.18992267,0.867482798,14.4,19.64125263
6.5,16,13.35,2,2,356.5383657,2.18992267,0.867482798,14.4,19.64125263
5,16,13.25,2.5,2,360.2192941,2.316059159,0.86756771,14.4,20.98947125
5,16,13.3,2.5,2,355.5085434,2.256919237,0.866616143,14.4,19.40915602
5,16,13.35,2.5,2,355.5085434,2.256919237,0.866616143,14.4,19.40915602
5.5,16,13.25,2.5,2,360.2192941,2.316059159,0.86756771,14.4,20.98947125
5.5,16,13.3,2.5,2,355.5085434,2.256919237,0.866616143,14.4,19.40915602
5.5,16,13.35,2.5,2,355.5085434,2.256919237,0.866616143,14.4,19.40915602
6,16,13.25,2.5,2,360.2192941,2.316059159,0.86756771,14.4,20.98947125
6,16,13.3,2.5,2,355.5085434,2.256919237,0.866616143,14.4,19.40915602
6,16,13.35,2.5,2,355.5085434,2.256919237,0.866616143,14.4,19.40915602
6.5,16,13.25,2.5,2,361.3429443,2.248917803,0.868466767,14.4,21.27881418
6.5,16,13.3,2.5,2,356.5383657,2.18992267,0.867482798,14.4,19.64125263
6.5,16,13.35,2.5,2,356.5383657,2.18992267,0.867482798,14.4,19.64125263
5,16,13.25,3,2,377.8257642,2.33252863,0.873274235,14.4,8.919319624
5,16,13.3,3,2,372.2192797,2.272323512,0.872122533,14.4,8.130556505
5,16,13.35,3,2,372.2192797,2.272323512,0.872122533,14.4,8.130556505
5.5,16,13.25,3,2,377.8257642,2.33252863,0.873274235,14.4,8.919319624
5.5,16,13.3,3,2,372.2192797,2.272323512,0.872122533,14.4,8.130556505
5.5,16,13.35,3,2,372.2192797,2.272323512,0.872122533,14.4,8.130556505
6,16,13.25,3,2,377.8257642,2.33252863,0.873274235,14.4,8.919319624
6,16,13.3,3,2,372.2192797,2.272323512,0.872122533,14.4,8.130556505
6,16,13.35,3,2,372.2192797,2.272323512,0.872122533,14.4,8.130556505
6.5,16,13.25,3,2,381.027835,2.280220364,0.874661976,14.4,8.538558691
6.5,16,13.3,3,2,375.1738013,2.216984032,0.873461517,14.4,7.692354682
6.5,16,13.35,3,2,375.1738013,2.216984032,0.873461517,14.4,7.692354682
5,16,13.25,3.5,2,384.6904983,2.217211576,0.876195079,14.4,4.272757783
5,16,13.3,3.5,2,378.5307625,2.155195822,0.874916049,14.4,4.100659329
5,16,13.35,3.5,2,378.5307625,2.155195822,0.874916049,14.4,4.100659329
5.5,16,13.25,3.5,2,384.6904983,2.217211576,0.876195079,14.4,4.272757783
5.5,16,13.3,3.5,2,378.5307625,2.155195822,0.874916049,14.4,4.100659329
5.5,16,13.35,3.5,2,378.5307625,2.155195822,0.874916049,14.4,4.100659329
6,16,13.25,3.5,2,384.6904983,2.217211576,0.876195079,14.4,4.272757783
6,16,13.3,3.5,2,378.5307625,2.155195822,0.874916049,14.4,4.100659329
6,16,13.35,3.5,2,378.5307625,2.155195822,0.874916049,14.4,4.100659329
6.5,16,13.25,3.5,2,388.8954606,2.185597472,0.877654671,14.4,3.030218217
6.5,16,13.3,3.5,2,382.4025966,2.118787385,0.876326369,14.4,2.781376337
6.5,16,13.35,3.5,2,382.4025966,2.118787385,0.876326369,14.4,2.781376337
5,16,13.25,4,2,385.5596932,2.095476077,0.877267524,14.4,4.133832434
5,16,13.3,4,2,379.1641859,2.033430928,0.875920237,14.4,4.144307619
5,16,13.35,4,2,379.1641859,2.033430928,0.875920237,14.4,4.144307619
5.5,16,13.25,4,2,385.5596932,2.095476077,0.877267524,14.4,4.133832434
5.5,16,13.3,4,2,379.1641859,2.033430928,0.875920237,14.4,4.144307619
5.5,16,13.35,4,2,379.1641859,2.033430928,0.875920237,14.4,4.144307619
6,16,13.25,4,2,385.5596932,2.095476077,0.877267524,14.4,4.133832434
6,16,13.3,4,2,379.1641859,2.033430928,0.875920237,14.4,4.144307619
6,16,13.35,4,2,379.1641859,2.033430928,0.875920237,14.4,4.144307619
6.5,16,13.25,4,2,390.5498296,2.036437084,0.879091114,14.4,2.026887391
6.5,16,13.3,4,2,383.6857122,1.968731704,0.877675194,14.4,2.220169668
6.5,16,13.35,4,2,383.6857122,1.968731704,0.877675194,14.4,2.220169668
5,18,13.25,2,2,403.5231207,2.333730202,0.869115418,16.2,21.1612807
5,18,13.3,2,2,398.1700281,2.277044426,0.868076677,16.2,19.59418287
5,18,13.35,2,2,398.1700281,2.277044426,0.868076677,16.2,19.59418287
5.5,18,13.25,2,2,403.5231207,2.333730202,0.869115418,16.2,21.1612807
5.5,18,13.3,2,2,398.1700281,2.277044426,0.868076677,16.2,19.59418287
5.5,18,13.35,2,2,398.1700281,2.277044426,0.868076677,16.2,19.59418287
6,18,13.25,2,2,403.5231207,2.333730202,0.869115418,16.2,21.1612807
6,18,13.3,2,2,398.1700281,2.277044426,0.868076677,16.2,19.59418287
6,18,13.35,2,2,398.1700281,2.277044426,0.868076677,16.2,19.59418287
6.5,18,13.25,2,2,404.8319569,2.266939286,0.869957451,16.2,21.41859405
6.5,18,13.3,2,2,399.3829149,2.210122539,0.868893259,16.2,19.79839091
6.5,18,13.35,2,2,399.3829149,2.210122539,0.868893259,16.2,19.79839091
5,18,13.25,2.5,2,403.5231207,2.333730202,0.869115418,16.2,21.1612807
5,18,13.3,2.5,2,398.1700281,2.277044426,0.868076677,16.2,19.59418287
5,18,13.35,2.5,2,398.1700281,2.277044426,0.868076677,16.2,19.59418287
5.5,18,13.25,2.5,2,403.5231207,2.333730202,0.869115418,16.2,21.1612807
5.5,18,13.3,2.5,2,398.1700281,2.277044426,0.868076677,16.2,19.59418287
5.5,18,13.35,2.5,2,398.1700281,2.277044426,0.868076677,16.2,19.59418287
6,18,13.25,2.5,2,403.5231207,2.333730202,0.869115418,16.2,21.1612807
6,18,13.3,2.5,2,398.1700281,2.277044426,0.868076677,16.2,19.59418287
6,18,13.35,2.5,2,398.1700281,2.277044426,0.868076677,16.2,19.59418287
6.5,18,13.25,2.5,2,404.8319569,2.266939286,0.869957451,16.2,21.41859405
6.5,18,13.3,2.5,2,399.3829149,2.210122539,0.868893259,16.2,19.79839091
6.5,18,13.35,2.5,2,399.3829149,2.210122539,0.868893259,16.2,19.79839091
5,18,13.25,3,2,423.6520158,2.358053807,0.874736408,16.2,9.349496878
5,18,13.3,3,2,417.3143158,2.29980575,0.873514644,16.2,8.585714135
5,18,13.35,3,2,417.3143158,2.29980575,0.873514644,16.2,8.585714135
5.5,18,13.25,3,2,423.6520158,2.358053807,0.874736408,16.2,9.349496878
5.5,18,13.3,3,2,417.3143158,2.29980575,0.873514644,16.2,8.585714135
5.5,18,13.35,3,2,417.3143158,2.29980575,0.873514644,16.2,8.585714135
6,18,13.25,3,2,423.6520158,2.358053807,0.874736408,16.2,9.349496878
6,18,13.3,3,2,417.3143158,2.29980575,0.873514644,16.2,8.585714135
6,18,13.35,3,2,417.3143158,2.29980575,0.873514644,16.2,8.585714135
6.5,18,13.25,3,2,427.3907878,2.30892813,0.876071554,16.2,8.838760608
6.5,18,13.3,3,2,420.7853166,2.247474539,0.87480699,16.2,8.030648709
6.5,18,13.35,3,2,420.7853166,2.247474539,0.87480699,16.2,8.030648709
5,18,13.25,3.5,2,431.6381158,2.246562688,0.877572649,16.2,4.971208176
5,18,13.3,3.5,2,424.6947619,2.186228242,0.876233652,16.2,4.834877664
5,18,13.35,3.5,2,424.6947619,2.186228242,0.876233652,16.2,4.834877664
5.5,18,13.25,3.5,2,431.6381158,2.246562688,0.877572649,16.2,4.971208176
5.5,18,13.3,3.5,2,424.6947619,2.186228242,0.876233652,16.2,4.834877664
5.5,18,13.35,3.5,2,424.6947619,2.186228242,0.876233652,16.2,4.834877664
6,18,13.25,3.5,2,431.6381158,2.246562688,0.877572649,16.2,4.971208176
6,18,13.3,3.5,2,424.6947619,2.186228242,0.876233652,16.2,4.834877664
6,18,13.35,3.5,2,424.6947619,2.186228242,0.876233652,16.2,4.834877664
6.5,18,13.25,3.5,2,436.5792826,2.220130663,0.878996322,16.2,3.47597503
6.5,18,13.3,3.5,2,429.2754638,2.154982127,0.877613244,16.2,3.349482495
6.5,18,13.35,3.5,2,429.2754638,2.154982127,0.877613244,16.2,3.349482495
5,18,13.25,4,2,432.7169906,2.12541604,0.87859766,16.2,5.040381225
5,18,13.3,4,2,425.4912265,2.06457995,0.877187197,16.2,5.04702905
5,18,13.35,4,2,425.4912265,2.06457995,0.877187197,16.2,5.04702905
5.5,18,13.25,4,2,432.7169906,2.12541604,0.87859766,16.2,5.040381225
5.5,18,13.3,4,2,425.4912265,2.06457995,0.877187197,16.2,5.04702905
5.5,18,13.35,4,2,425.4912265,2.06457995,0.877187197,16.2,5.04702905
6,18,13.25,4,2,432.7169906,2.12541604,0.87859766,16.2,5.040381225
6,18,13.3,4,2,425.4912265,2.06457995,0.877187197,16.2,5.04702905
6,18,13.35,4,2,425.4912265,2.06457995,0.877187197,16.2,5.04702905
6.5,18,13.25,4,2,438.6682714,2.072358188,0.880383724,16.2,2.810446663
6.5,18,13.3,4,2,430.923692,2.005851908,0.878909571,16.2,3.057105576
6.5,18,13.35,4,2,430.923692,2.005851908,0.878909571,16.2,3.057105576
5,20,13.25,2,2,446.2814736,2.351246742,0.870138572,18,21.30264288
5,20,13.3,2,2,440.2746072,2.296481168,0.869033274,18,19.75000858
5,20,13.35,2,2,440.2746072,2.296481168,0.869033274,18,19.75000858
5.5,20,13.25,2,2,446.2814736,2.351246742,0.870138572,18,21.30264288
5.5,20,13.3,2,2,440.2746072,2.296481168,0.869033274,18,19.75000858
5.5,20,13.35,2,2,440.2746072,2.296481168,0.869033274,18,19.75000858
6,20,13.25,2,2,446.2814736,2.351246742,0.870138572,18,21.30264288
6,20,13.3,2,2,440.2746072,2.296481168,0.869033274,18,19.75000858
6,20,13.35,2,2,440.2746072,2.296481168,0.869033274,18,19.75000858
6.5,20,13.25,2,2,447.7849995,2.285315706,0.870938969,18,21.52946804
6.5,20,13.3,2,2,441.6786361,2.23021541,0.869812553,18,19.92758218
6.5,20,13.35,2,2,441.6786361,2.23021541,0.869812553,18,19.92758218
5,20,13.25,2.5,2,446.2814736,2.351246742,0.870138572,18,21.30264288
5,20,13.3,2.5,2,440.2746072,2.296481168,0.869033274,18,19.75000858
5,20,13.35,2.5,2,440.2746072,2.296481168,0.869033274,18,19.75000858
5.5,20,13.25,2.5,2,446.2814736,2.351246742,0.870138572,18,21.30264288
5.5,20,13.3,2.5,2,440.2746072,2.296481168,0.869033274,18,19.75000858
5.5,20,13.35,2.5,2,440.2746072,2.296481168,0.869033274,18,19.75000858
6,20,13.25,2.5,2,446.2814736,2.351246742,0.870138572,18,21.30264288
6,20,13.3,2.5,2,440.2746072,2.296481168,0.869033274,18,19.75000858
6,20,13.35,2.5,2,440.2746072,2.296481168,0.869033274,18,19.75000858
6.5,20,13.25,2.5,2,447.7849995,2.285315706,0.870938969,18,21.52946804
6.5,20,13.3,2.5,2,441.6786361,2.23021541,0.869812553,18,19.92758218
6.5,20,13.35,2.5,2,441.6786361,2.23021541,0.869812553,18,19.92758218
5,20,13.25,3,2,469.0346143,2.38380706,0.875755992,18,9.819863788
5,20,13.3,3,2,461.9444366,2.327108726,0.874477834,18,9.079838752
5,20,13.35,3,2,461.9444366,2.327108726,0.874477834,18,9.079838752
5.5,20,13.25,3,2,469.0346143,2.38380706,0.875755992,18,9.819863788
5.5,20,13.3,3,2,461.9444366,2.327108726,0.874477834,18,9.079838752
5.5,20,13.35,3,2,461.9444366,2.327108726,0.874477834,18,9.079838752
6,20,13.25,3,2,469.0346143,2.38380706,0.875755992,18,9.819863788
6,20,13.3,3,2,461.9444366,2.327108726,0.874477834,18,9.079838752
6,20,13.35,3,2,461.9444366,2.327108726,0.874477834,18,9.079838752
6.5,20,13.25,3,2,473.3294568,2.338269606,0.877059272,18,9.194367085
6.5,20,13.3,3,2,465.9681871,2.278506576,0.875744713,18,8.423532152
6.5,20,13.35,3,2,465.9681871,2.278506576,0.875744713,18,8.423532152
5,20,13.25,3.5,2,478.1699467,2.276692384,0.878546406,18,5.715766892
5,20,13.3,3.5,2,470.4531489,2.217652186,0.87716468,18,5.601962858
5,20,13.35,3.5,2,470.4531489,2.217652186,0.87716468,18,5.601962858
5.5,20,13.25,3.5,2,478.1699467,2.276692384,0.878546406,18,5.715766892
5.5,20,13.3,3.5,2,470.4531489,2.217652186,0.87716468,18,5.601962858
5.5,20,13.35,3.5,2,470.4531489,2.217652186,0.87716468,18,5.601962858
6,20,13.25,3.5,2,478.1699467,2.276692384,0.878546406,18,5.715766892
6,20,13.3,3.5,2,470.4531489,2.217652186,0.87716468,18,5.601962858
6,20,13.35,3.5,2,470.4531489,2.217652186,0.87716468,18,5.601962858
6.5,20,13.25,3.5,2,483.8916905,2.255839489,0.879958065,18,4.067262088
6.5,20,13.3,3.5,2,475.7903357,2.192333832,0.878534113,18,4.025534738
6.5,20,13.35,3.5,2,475.7903357,2.192333832,0.878534113,18,4.025534738
5,20,13.25,4,2,479.5143174,2.155986823,0.879550276,18,5.956794788
5,20,13.3,4,2,471.4643833,2.096691562,0.878090172,18,5.955130442
5,20,13.35,4,2,471.4643833,2.096691562,0.878090172,18,5.955130442
5.5,20,13.25,4,2,479.5143174,2.155986823,0.879550276,18,5.956794788
5.5,20,13.3,4,2,471.4643833,2.096691562,0.878090172,18,5.955130442
5.5,20,13.35,4,2,471.4643833,2.096691562,0.878090172,18,5.955130442
6,20,13.25,4,2,479.5143174,2.155986823,0.879550276,18,5.956794788
6,20,13.3,4,2,471.4643833,2.096691562,0.878090172,18,5.955130442
6,20,13.35,4,2,471.4643833,2.096691562,0.878090172,18,5.955130442
6.5,20,13.25,4,2,486.5118301,2.10997196,0.881328184,18,3.677828754
6.5,20,13.3,4,2,477.8965332,2.044987254,0.879808103,18,3.941407085
6.5,20,13.35,4,2,477.8965332,2.044987254,0.879808103,18,3.941407085
